央视,#genre#
CCTV1,http://39.134.67.148/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=#http://39.134.63.211:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=819a5afdd2f78fc4c963037bfa4c9895&id=CCTV1&type=yy#http://39.134.63.211:6610/PLTV/88888888/224/3221226514/index.m3u8?IASHttpSessionId=
CCTV2,http://39.134.63.211:6610/PLTV/88888888/224/3221226540/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=75655d5ccaaef804b421055f201a9960&id=CCTV2&type=yy#http://39.134.67.148/PLTV/88888888/224/3221225599/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225588/index.m3u8?IASHttpSessionId=
CCTV3,http://39.134.67.148/PLTV/88888888/224/3221225799/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=ebc37d2c1ea9b9e442b164a400d6c543&id=CCTV3&type=yy
CCTV4,http://39.134.67.148/PLTV/88888888/224/3221226092/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=6cdd66a3ef61a3091aa07e71d7121ff3&id=CCTV4&type=yy#http://39.134.67.148/PLTV/88888888/224/3221225797/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226007/index.m3u8?IASHttpSessionId=
CCTV4美洲,https://migu.188766.xyz/?migutoken=dea7dfca5bfb43dd8db7b3a3e97f615f&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
CCTV4欧洲,https://migu.188766.xyz/?migutoken=0f005883daa40c283aaeb64656477d28&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV5,http://39.134.67.148/PLTV/88888888/224/3221225818/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=0cb335eafa9ac4143b9b954a124efffe&id=CCTV5&type=yy
CCTV5+,http://39.134.67.148/PLTV/88888888/224/3221225507/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225603/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=5b52d8835167234f5398dfb8cd71a539&id=CCTV5p&type=yy
CCTV6,http://39.134.67.148/PLTV/88888888/224/3221225814/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=4b09f8a7c615fd6e1715745e63ffab1e&id=CCTV6&type=yy
CCTV7,http://39.134.67.148/PLTV/88888888/224/3221225671/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225733/index.m3u8?IASHttpSessionId=#http://39.134.63.211:6610/PLTV/88888888/224/3221226398/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=d63b7791ddbfe9a1c3fb4c6c19c0a249&id=CCTV7&type=yy
CCTV8,http://39.134.67.148/PLTV/88888888/224/3221225795/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221226008/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=cbe2fc485f02e6856ea7c239384fd117&id=CCTV8&type=yy
CCTV9,http://39.134.67.148/PLTV/88888888/224/3221225676/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225734/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=6539cf4d5e5fe54ef6b01aaa89fe4c41&id=CCTV9&type=yy
CCTV10,http://39.134.67.148/PLTV/88888888/224/3221225677/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225730/index.m3u8?IASHttpSessionId=#http://39.134.63.211:6610/PLTV/88888888/224/3221226473/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=ffe3af62716d5183f829c61696805424&id=CCTV10&type=yy
CCTV11,http://39.134.63.211:6610/PLTV/88888888/224/3221226565/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=79134538b393a6377f6285b8dc44c84b&id=CCTV11&type=yy#http://39.134.67.148/PLTV/88888888/224/3221225517/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225597/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.67.148/PLTV/88888888/224/3221225669/1.m3u8#http://39.134.63.211:6610/PLTV/88888888/224/3221225731/index.m3u8?IASHttpSessionId=#http://39.134.63.211:6610/PLTV/88888888/224/3221226568/index.m3u8?IASHttpSessionId=#https://migu.188766.xyz/?migutoken=be9f49f43a61714976e9bf4d850981a1&id=CCTV12&type=yy
